"Year","Headline","ConflictTypes","Country","Region","Description","Text","SeverityIndex","ConflictTypeNumeric"
1993,"Iraq uses water to silence opposition","Weapon","Iraq","Western Asia","To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Ma?d?n. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.","Iraq uses water to silence opposition To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Ma?d?n. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.",2,1
1993,"Iraq uses water to silence opposition","Casualty","Iraq","Western Asia","To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Ma?d?n. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.","Iraq uses water to silence opposition To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Ma?d?n. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.",2,2
1994,"Iraq uses water to silence opposition","Casualty","Iraq","Western Asia","To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Ma?d?n. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.","Iraq uses water to silence opposition To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Ma?d?n. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.",2,2
1994,"Iraq uses water to silence opposition","Weapon","Iraq","Western Asia","To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Ma?d?n. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.","Iraq uses water to silence opposition To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Ma?d?n. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.",2,1
1995,"Iraq uses water to silence opposition","Weapon","Iraq","Western Asia","To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Ma?d?n. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.","Iraq uses water to silence opposition To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Ma?d?n. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.",2,1
1995,"Iraq uses water to silence opposition","Casualty","Iraq","Western Asia","To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Ma?d?n. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.","Iraq uses water to silence opposition To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Ma?d?n. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.",2,2
1996,"Iraq uses water to silence opposition","Weapon","Iraq","Western Asia","To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Ma?d?n. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.","Iraq uses water to silence opposition To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Ma?d?n. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.",2,1
1996,"Iraq uses water to silence opposition","Casualty","Iraq","Western Asia","To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Ma?d?n. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.","Iraq uses water to silence opposition To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Ma?d?n. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.",2,2
1997,"Iraq uses water to silence opposition","Weapon","Iraq","Western Asia","To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Ma?d?n. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.","Iraq uses water to silence opposition To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Ma?d?n. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.",2,1
1997,"Iraq uses water to silence opposition","Casualty","Iraq","Western Asia","To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Ma?d?n. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.","Iraq uses water to silence opposition To quell opposition to his government, Saddam Hussein reportedly poisons and drains the water supplies of southern Shiite Muslims, the Marsh Arabs, or Ma?d?n. The marshes of southern Iraq are intentionally targeted. The European Parliament and UN Human Rights Commission deplore use of water as weapon in region.",2,2
